Date,MDA8,Site,Month,Week
2021-01-01,43.0,Redlands,1,Weekday
2021-01-02,39.0,Redlands,1,Weekend
2021-01-03,42.0,Redlands,1,Weekend
2021-01-04,33.0,Redlands,1,Weekday
2021-01-05,38.0,Redlands,1,Weekday
2021-01-06,34.0,Redlands,1,Weekday
2021-01-07,38.0,Redlands,1,Weekday
2021-01-08,35.0,Redlands,1,Weekday
2021-01-09,42.0,Redlands,1,Weekend
2021-01-10,43.0,Redlands,1,Weekend
2021-01-11,39.0,Redlands,1,Weekday
2021-01-12,41.0,Redlands,1,Weekday
2021-01-13,39.0,Redlands,1,Weekday
2021-01-14,41.0,Redlands,1,Weekday
2021-01-15,41.0,Redlands,1,Weekday
2021-01-16,42.0,Redlands,1,Weekend
2021-01-17,45.0,Redlands,1,Weekend
2021-01-18,40.0,Redlands,1,Weekday
2021-01-19,39.0,Redlands,1,Weekday
2021-01-20,38.0,Redlands,1,Weekday
2021-01-21,38.0,Redlands,1,Weekday
2021-01-22,44.0,Redlands,1,Weekday
2021-01-23,32.0,Redlands,1,Weekend
2021-01-24,37.0,Redlands,1,Weekend
2021-01-25,40.0,Redlands,1,Weekday
2021-01-26,38.0,Redlands,1,Weekday
2021-01-27,41.0,Redlands,1,Weekday
2021-01-28,45.0,Redlands,1,Weekday
2021-01-29,38.0,Redlands,1,Weekday
2021-01-30,40.0,Redlands,1,Weekend
2021-01-31,44.0,Redlands,1,Weekend
2021-02-01,26.0,Redlands,2,Weekday
2021-02-02,31.0,Redlands,2,Weekday
2021-02-03,40.0,Redlands,2,Weekday
2021-02-04,46.0,Redlands,2,Weekday
2021-02-05,45.0,Redlands,2,Weekday
2021-02-06,50.0,Redlands,2,Weekend
2021-02-07,55.0,Redlands,2,Weekend
2021-02-08,47.0,Redlands,2,Weekday
2021-02-09,23.0,Redlands,2,Weekday
2021-02-10,38.0,Redlands,2,Weekday
2021-02-11,51.0,Redlands,2,Weekday
2021-02-12,41.0,Redlands,2,Weekday
2021-02-13,39.0,Redlands,2,Weekend
2021-02-14,46.0,Redlands,2,Weekend
2021-02-15,39.0,Redlands,2,Weekday
2021-02-16,39.0,Redlands,2,Weekday
2021-02-17,46.0,Redlands,2,Weekday
2021-02-18,46.0,Redlands,2,Weekday
2021-02-19,50.0,Redlands,2,Weekday
2021-02-20,48.0,Redlands,2,Weekend
2021-02-21,46.0,Redlands,2,Weekend
2021-02-22,46.0,Redlands,2,Weekday
2021-02-23,48.0,Redlands,2,Weekday
2021-02-24,55.0,Redlands,2,Weekday
2021-02-25,50.0,Redlands,2,Weekday
2021-02-26,49.0,Redlands,2,Weekday
2021-02-27,51.0,Redlands,2,Weekend
2021-02-28,50.0,Redlands,2,Weekend
2021-03-01,48.0,Redlands,3,Weekday
2021-03-02,52.0,Redlands,3,Weekday
2021-03-03,50.0,Redlands,3,Weekday
2021-03-04,46.0,Redlands,3,Weekday
2021-03-05,55.0,Redlands,3,Weekday
2021-03-06,56.0,Redlands,3,Weekend
2021-03-07,45.0,Redlands,3,Weekend
2021-03-08,49.0,Redlands,3,Weekday
2021-03-09,48.0,Redlands,3,Weekday
2021-03-10,47.0,Redlands,3,Weekday
2021-03-11,48.0,Redlands,3,Weekday
2021-03-12,46.0,Redlands,3,Weekday
2021-03-13,50.0,Redlands,3,Weekend
2021-03-14,48.0,Redlands,3,Weekend
2021-03-15,45.0,Redlands,3,Weekday
2021-03-16,46.0,Redlands,3,Weekday
2021-03-17,52.0,Redlands,3,Weekday
2021-03-18,58.0,Redlands,3,Weekday
2021-03-19,52.0,Redlands,3,Weekday
2021-03-20,50.0,Redlands,3,Weekend
2021-03-21,54.0,Redlands,3,Weekend
2021-03-22,55.0,Redlands,3,Weekday
2021-03-23,46.0,Redlands,3,Weekday
2021-03-24,52.0,Redlands,3,Weekday
2021-03-25,50.0,Redlands,3,Weekday
2021-03-26,46.0,Redlands,3,Weekday
2021-03-27,57.0,Redlands,3,Weekend
2021-03-28,54.0,Redlands,3,Weekend
2021-03-29,64.0,Redlands,3,Weekday
2021-03-30,56.0,Redlands,3,Weekday
2021-03-31,59.0,Redlands,3,Weekday
2021-04-01,58.0,Redlands,4,Weekday
2021-04-02,76.0,Redlands,4,Weekday
2021-04-03,77.0,Redlands,4,Weekend
2021-04-04,73.0,Redlands,4,Weekend
2021-04-05,61.0,Redlands,4,Weekday
2021-04-06,62.0,Redlands,4,Weekday
2021-04-07,78.0,Redlands,4,Weekday
2021-04-08,72.0,Redlands,4,Weekday
2021-04-09,73.0,Redlands,4,Weekday
2021-04-10,84.0,Redlands,4,Weekend
2021-04-11,80.0,Redlands,4,Weekend
2021-04-12,60.0,Redlands,4,Weekday
2021-04-13,46.0,Redlands,4,Weekday
2021-04-14,58.0,Redlands,4,Weekday
2021-04-15,59.0,Redlands,4,Weekday
2021-04-16,70.0,Redlands,4,Weekday
2021-04-17,68.0,Redlands,4,Weekend
2021-04-18,58.0,Redlands,4,Weekend
2021-04-19,68.0,Redlands,4,Weekday
2021-04-20,72.0,Redlands,4,Weekday
2021-04-21,48.0,Redlands,4,Weekday
2021-04-22,40.0,Redlands,4,Weekday
2021-04-23,48.0,Redlands,4,Weekday
2021-04-24,60.0,Redlands,4,Weekend
2021-04-25,50.0,Redlands,4,Weekend
2021-04-26,49.0,Redlands,4,Weekday
2021-04-27,50.0,Redlands,4,Weekday
2021-04-28,56.0,Redlands,4,Weekday
2021-04-29,68.0,Redlands,4,Weekday
2021-04-30,75.0,Redlands,4,Weekday
2021-05-01,75.0,Redlands,5,Weekend
2021-05-02,49.0,Redlands,5,Weekend
2021-05-03,63.0,Redlands,5,Weekday
2021-05-04,74.0,Redlands,5,Weekday
2021-05-05,86.0,Redlands,5,Weekday
2021-05-06,74.0,Redlands,5,Weekday
2021-05-07,66.0,Redlands,5,Weekday
2021-05-08,74.0,Redlands,5,Weekend
2021-05-09,67.0,Redlands,5,Weekend
2021-05-10,60.0,Redlands,5,Weekday
2021-05-11,71.0,Redlands,5,Weekday
2021-05-12,84.0,Redlands,5,Weekday
2021-05-13,79.0,Redlands,5,Weekday
2021-05-14,76.0,Redlands,5,Weekday
2021-05-15,57.0,Redlands,5,Weekend
2021-05-16,46.0,Redlands,5,Weekend
2021-05-17,45.0,Redlands,5,Weekday
2021-05-18,74.0,Redlands,5,Weekday
2021-05-19,74.0,Redlands,5,Weekday
2021-05-20,57.0,Redlands,5,Weekday
2021-05-21,56.0,Redlands,5,Weekday
2021-05-22,57.0,Redlands,5,Weekend
2021-05-23,66.0,Redlands,5,Weekend
2021-05-24,73.0,Redlands,5,Weekday
2021-05-25,72.0,Redlands,5,Weekday
2021-05-26,65.0,Redlands,5,Weekday
2021-05-27,68.0,Redlands,5,Weekday
2021-05-28,84.0,Redlands,5,Weekday
2021-05-29,68.0,Redlands,5,Weekend
2021-05-30,70.0,Redlands,5,Weekend
2021-05-31,81.0,Redlands,5,Weekday
2021-06-01,79.0,Redlands,6,Weekday
2021-06-02,96.0,Redlands,6,Weekday
2021-06-03,94.0,Redlands,6,Weekday
2021-06-04,83.0,Redlands,6,Weekday
2021-06-05,69.0,Redlands,6,Weekend
2021-06-06,60.0,Redlands,6,Weekend
2021-06-07,45.0,Redlands,6,Weekday
2021-06-08,66.0,Redlands,6,Weekday
2021-06-09,64.0,Redlands,6,Weekday
2021-06-10,68.0,Redlands,6,Weekday
2021-06-11,82.0,Redlands,6,Weekday
2021-06-12,102.0,Redlands,6,Weekend
2021-06-13,92.0,Redlands,6,Weekend
2021-06-14,76.0,Redlands,6,Weekday
2021-06-15,95.0,Redlands,6,Weekday
2021-06-16,118.0,Redlands,6,Weekday
2021-06-17,103.0,Redlands,6,Weekday
2021-06-18,95.0,Redlands,6,Weekday
2021-06-19,106.0,Redlands,6,Weekend
2021-06-20,88.0,Redlands,6,Weekend
2021-06-21,78.0,Redlands,6,Weekday
2021-06-22,78.0,Redlands,6,Weekday
2021-06-23,44.0,Redlands,6,Weekday
2021-06-24,4.0,Redlands,6,Weekday
2021-06-25,81.0,Redlands,6,Weekday
2021-06-26,101.0,Redlands,6,Weekend
2021-06-27,112.0,Redlands,6,Weekend
2021-06-28,112.0,Redlands,6,Weekday
2021-06-29,90.0,Redlands,6,Weekday
2021-06-30,97.0,Redlands,6,Weekday
2021-07-01,94.0,Redlands,7,Weekday
2021-07-02,86.0,Redlands,7,Weekday
2021-07-03,91.0,Redlands,7,Weekend
2021-07-04,78.0,Redlands,7,Weekend
2021-07-05,80.0,Redlands,7,Weekday
2021-07-06,84.0,Redlands,7,Weekday
2021-07-07,106.0,Redlands,7,Weekday
2021-07-08,101.0,Redlands,7,Weekday
2021-07-09,105.0,Redlands,7,Weekday
2021-07-10,96.0,Redlands,7,Weekend
2021-07-11,81.0,Redlands,7,Weekend
2021-07-12,88.0,Redlands,7,Weekday
2021-07-13,91.0,Redlands,7,Weekday
2021-07-14,81.0,Redlands,7,Weekday
2021-07-15,68.0,Redlands,7,Weekday
2021-07-16,76.0,Redlands,7,Weekday
2021-07-17,77.0,Redlands,7,Weekend
2021-07-18,82.0,Redlands,7,Weekend
2021-07-19,89.0,Redlands,7,Weekday
2021-07-20,93.0,Redlands,7,Weekday
2021-07-21,85.0,Redlands,7,Weekday
2021-07-22,74.0,Redlands,7,Weekday
2021-07-23,75.0,Redlands,7,Weekday
2021-07-24,74.0,Redlands,7,Weekend
2021-07-25,70.0,Redlands,7,Weekend
2021-07-26,66.0,Redlands,7,Weekday
2021-07-27,79.0,Redlands,7,Weekday
2021-07-28,70.0,Redlands,7,Weekday
2021-07-29,79.0,Redlands,7,Weekday
2021-07-30,64.0,Redlands,7,Weekday
2021-07-31,80.0,Redlands,7,Weekend
2021-08-01,83.0,Redlands,8,Weekend
2021-08-02,83.0,Redlands,8,Weekday
2021-08-03,92.0,Redlands,8,Weekday
2021-08-04,119.0,Redlands,8,Weekday
2021-08-05,97.0,Redlands,8,Weekday
2021-08-06,95.0,Redlands,8,Weekday
2021-08-07,87.0,Redlands,8,Weekend
2021-08-08,80.0,Redlands,8,Weekend
2021-08-09,87.0,Redlands,8,Weekday
2021-08-10,94.0,Redlands,8,Weekday
2021-08-11,77.0,Redlands,8,Weekday
2021-08-12,72.0,Redlands,8,Weekday
2021-08-13,61.0,Redlands,8,Weekday
2021-08-14,71.0,Redlands,8,Weekend
2021-08-15,97.0,Redlands,8,Weekend
2021-08-16,87.0,Redlands,8,Weekday
2021-08-17,63.0,Redlands,8,Weekday
2021-08-18,40.0,Redlands,8,Weekday
2021-08-19,64.0,Redlands,8,Weekday
2021-08-20,66.0,Redlands,8,Weekday
2021-08-21,59.0,Redlands,8,Weekend
2021-08-22,74.0,Redlands,8,Weekend
2021-08-23,85.0,Redlands,8,Weekday
2021-08-24,98.0,Redlands,8,Weekday
2021-08-25,90.0,Redlands,8,Weekday
2021-08-26,95.0,Redlands,8,Weekday
2021-08-27,92.0,Redlands,8,Weekday
2021-08-28,91.0,Redlands,8,Weekend
2021-08-29,88.0,Redlands,8,Weekend
2021-08-30,87.0,Redlands,8,Weekday
2021-08-31,65.0,Redlands,8,Weekday
2021-09-01,63.0,Redlands,9,Weekday
2021-09-02,76.0,Redlands,9,Weekday
2021-09-03,82.0,Redlands,9,Weekday
2021-09-04,70.0,Redlands,9,Weekend
2021-09-05,88.0,Redlands,9,Weekend
2021-09-06,93.0,Redlands,9,Weekday
2021-09-07,92.0,Redlands,9,Weekday
2021-09-08,107.0,Redlands,9,Weekday
2021-09-09,81.0,Redlands,9,Weekday
2021-09-10,80.0,Redlands,9,Weekday
2021-09-11,70.0,Redlands,9,Weekend
2021-09-12,65.0,Redlands,9,Weekend
2021-09-13,78.0,Redlands,9,Weekday
2021-09-14,80.0,Redlands,9,Weekday
2021-09-15,77.0,Redlands,9,Weekday
2021-09-16,83.0,Redlands,9,Weekday
2021-09-17,79.0,Redlands,9,Weekday
2021-09-18,76.0,Redlands,9,Weekend
2021-09-19,73.0,Redlands,9,Weekend
2021-09-20,86.0,Redlands,9,Weekday
2021-09-21,64.0,Redlands,9,Weekday
2021-09-22,66.0,Redlands,9,Weekday
2021-09-23,33.0,Redlands,9,Weekday
2021-09-24,52.0,Redlands,9,Weekday
2021-09-25,80.0,Redlands,9,Weekend
2021-09-26,59.0,Redlands,9,Weekend
2021-09-27,40.0,Redlands,9,Weekday
2021-09-28,49.0,Redlands,9,Weekday
2021-09-29,55.0,Redlands,9,Weekday
2021-09-30,50.0,Redlands,9,Weekday
2021-10-01,59.0,Redlands,10,Weekday
2021-10-02,66.0,Redlands,10,Weekend
2021-10-03,66.0,Redlands,10,Weekend
2021-10-04,60.0,Redlands,10,Weekday
2021-10-05,55.0,Redlands,10,Weekday
2021-10-06,57.0,Redlands,10,Weekday
2021-10-07,40.0,Redlands,10,Weekday
2021-10-08,36.0,Redlands,10,Weekday
2021-10-09,53.0,Redlands,10,Weekend
2021-10-10,58.0,Redlands,10,Weekend
2021-10-11,50.0,Redlands,10,Weekday
2021-10-12,41.0,Redlands,10,Weekday
2021-10-13,43.0,Redlands,10,Weekday
2021-10-14,51.0,Redlands,10,Weekday
2021-10-15,44.0,Redlands,10,Weekday
2021-10-16,52.0,Redlands,10,Weekend
2021-10-17,60.0,Redlands,10,Weekend
2021-10-18,38.0,Redlands,10,Weekday
2021-10-19,39.0,Redlands,10,Weekday
2021-10-20,48.0,Redlands,10,Weekday
2021-10-21,56.0,Redlands,10,Weekday
2021-10-22,55.0,Redlands,10,Weekday
2021-10-23,31.0,Redlands,10,Weekend
2021-10-24,45.0,Redlands,10,Weekend
2021-10-25,35.0,Redlands,10,Weekday
2021-10-26,37.0,Redlands,10,Weekday
2021-10-27,42.0,Redlands,10,Weekday
2021-10-28,41.0,Redlands,10,Weekday
2021-10-29,47.0,Redlands,10,Weekday
2021-10-30,57.0,Redlands,10,Weekend
2021-10-31,43.0,Redlands,10,Weekend
2021-11-01,32.0,Redlands,11,Weekday
2021-11-02,35.0,Redlands,11,Weekday
2021-11-03,41.0,Redlands,11,Weekday
2021-11-04,47.0,Redlands,11,Weekday
2021-11-05,46.0,Redlands,11,Weekday
2021-11-06,57.0,Redlands,11,Weekend
2021-11-07,55.0,Redlands,11,Weekend
2021-11-08,41.0,Redlands,11,Weekday
2021-11-09,37.0,Redlands,11,Weekday
2021-11-10,38.0,Redlands,11,Weekday
2021-11-11,40.0,Redlands,11,Weekday
2021-11-12,38.0,Redlands,11,Weekday
2021-11-13,43.0,Redlands,11,Weekend
2021-11-14,42.0,Redlands,11,Weekend
2021-11-15,49.0,Redlands,11,Weekday
2021-11-16,39.0,Redlands,11,Weekday
2021-11-17,29.0,Redlands,11,Weekday
2021-11-18,29.0,Redlands,11,Weekday
2021-11-19,24.0,Redlands,11,Weekday
2021-11-20,34.0,Redlands,11,Weekend
2021-11-21,41.0,Redlands,11,Weekend
2021-11-22,37.0,Redlands,11,Weekday
2021-11-23,41.0,Redlands,11,Weekday
2021-11-24,45.0,Redlands,11,Weekday
2021-11-25,43.0,Redlands,11,Weekday
2021-11-26,48.0,Redlands,11,Weekday
2021-11-27,42.0,Redlands,11,Weekend
2021-11-28,41.0,Redlands,11,Weekend
2021-11-29,37.0,Redlands,11,Weekday
2021-11-30,37.0,Redlands,11,Weekday
2021-12-01,39.0,Redlands,12,Weekday
2021-12-02,30.0,Redlands,12,Weekday
2021-12-03,28.0,Redlands,12,Weekday
2021-12-04,29.0,Redlands,12,Weekend
2021-12-05,39.0,Redlands,12,Weekend
2021-12-06,32.0,Redlands,12,Weekday
2021-12-07,26.0,Redlands,12,Weekday
2021-12-08,31.0,Redlands,12,Weekday
2021-12-09,29.0,Redlands,12,Weekday
2021-12-10,33.0,Redlands,12,Weekday
2021-12-11,37.0,Redlands,12,Weekend
2021-12-12,37.0,Redlands,12,Weekend
2021-12-13,35.0,Redlands,12,Weekday
2021-12-14,39.0,Redlands,12,Weekday
2021-12-15,36.0,Redlands,12,Weekday
2021-12-16,28.0,Redlands,12,Weekday
2021-12-17,34.0,Redlands,12,Weekday
2021-12-18,37.0,Redlands,12,Weekend
2021-12-19,40.0,Redlands,12,Weekend
2021-12-20,35.0,Redlands,12,Weekday
2021-12-21,20.0,Redlands,12,Weekday
2021-12-22,27.0,Redlands,12,Weekday
2021-12-23,32.0,Redlands,12,Weekday
2021-12-24,39.0,Redlands,12,Weekday
2021-12-25,38.0,Redlands,12,Weekend
2021-12-26,41.0,Redlands,12,Weekend
2021-12-27,36.0,Redlands,12,Weekday
2021-12-28,36.0,Redlands,12,Weekday
2021-12-29,36.0,Redlands,12,Weekday
2021-12-30,31.0,Redlands,12,Weekday
2021-12-31,33.0,Redlands,12,Weekday
